25 20
#############
#...........#    ########
#.......s...######g.....#
#...s......a............#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #.....k#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@....#      #......#
  #.......#      #.....w#
  #...../.#      #......#
  #.......#      #...a..#
  #.......#      #......#
  #.......#      #..g...#
  #########       ######
